occ	Longitude	Latitude	Current_bio_2	Current_bio_5	Current_bio_11	Current_bio_14	Future_bio02	Future_bio05	Future_bio11	Future_bio14
0	-129.400558	57.28507424	10.15733337	14.89700031	-11.20599937	30	9.600000381	19.60000038	-8.899999619	32.29999924
0	-133.900558	58.78507424	7.524166584	14.21000004	-9.177666664	53	7.099999905	17.39999962	-6.900000095	57
0	-118.900558	47.78507424	13.09933376	29.44300079	-2.382166624	14	13.30000019	34.79999924	-0.100000001	12.5
0	-118.900558	43.78507424	14.41300011	25.24699974	-3.033499956	15	14.5	30	-0.600000024	13.80000019
0	-117.400558	35.28507424	16.55550003	38.04600143	7.61433363	1	16.70000076	41.09999847	9.699999809	1
0	-110.900558	43.28507424	14.72966671	23.27600098	-8.572333336	33	14.5	27.29999924	-6.400000095	37.29999924
0	-141.900558	62.28507424	11.61499977	17.2159996	-19.81733322	19	11	19.60000038	-17.10000038	21.29999924
0	-112.900558	46.78507424	14.00549984	24.97100067	-5.497166634	23	13.80000019	29.29999924	-3.299999952	25
0	-115.400558	51.78507424	13.78050041	19.19000053	-8.912333488	23	13.39999962	23	-6.900000095	25.5
0	-110.400558	37.28507424	15.39949989	37.1780014	2.503499985	5	15.5	40.70000076	5.199999809	4.800000191
0	-120.900558	54.78507424	9.974916458	19.2670002	-7.236000061	34	9.300000191	22	-5	37
0	-146.400558	63.28507424	8.867500305	15.67199993	-16.46483421	7	7.900000095	17.89999962	-13.10000038	7.800000191
0	-121.400558	47.78507424	8.84125042	20.42000008	-2.461666584	45	9.100000381	25.29999924	-0.400000006	37.29999924
0	-145.400558	61.78507424	12.11191654	18.98500061	-17.20899963	10	11.39999962	21.10000038	-14.39999962	11
0	-123.400558	48.78507424	7.351822853	20.97500038	4.770312309	21	7.5	25.20000076	6.800000191	16.79999924
0	-123.900558	42.78507424	12.31908321	25.90800095	5.378666878	14	12.39999962	28.89999962	7	12.30000019
0	-132.900558	54.78507424	5.01490736	15.96000004	2.827592611	118	5	18.60000038	4.699999809	111
0	-151.900558	63.78507424	11.99758339	23.25499916	-21.10200119	12	11	25.10000038	-16.89999962	13
0	-115.400558	33.28507424	16.24900055	42.24300003	14.20283318	1	16.20000076	45.09999847	16.29999924	0.800000012
0	-112.900558	42.78507424	14.36183357	30.52000046	-3.055666685	16	14.10000038	34.40000153	-0.699999988	18
0	-107.900558	37.78507424	15.32891655	19.11599922	-8.538833618	38	15.19999981	22.39999962	-6	37
0	-125.400558	54.78507424	10.0809164	20.19799995	-9.286000252	23	9.5	23.29999924	-7.099999905	23.5
0	-110.900558	37.78507424	15.96325016	36.25	1.256500006	7	16	39.79999924	3.900000095	6.800000191
0	-153.900558	60.28507424	9.673583031	16.08399963	-9.735833168	33	8.800000191	18.5	-5.699999809	36
0	-146.400558	61.28507424	8.23516655	9.342000008	-13.28533363	31	7.5	11.5	-10.5	34.29999924
0	-121.400558	44.78507424	14.86024952	30.10199928	0.977333307	14	15.10000038	34.59999847	3	12.5
0	-123.400558	54.78507424	10.74116611	20.75899887	-9.416167259	28	10.10000038	23.5	-7.199999809	29.79999924
0	-131.400558	59.28507424	10.79216671	16.05500031	-14.72233391	20	10.19999981	19.60000038	-12.30000019	20.5
0	-117.900558	51.78507424	8.975000381	15.75500011	-10.61533356	72	8.699999809	20	-8.699999809	78.30000305
0	-132.900558	60.78507424	12.1817503	19.86000061	-18.11733246	10	11.5	23.29999924	-15.60000038	11
0	-112.900558	54.28507424	12.30133343	22.37199974	-14.56783295	16	11.69999981	25.29999924	-12	17
0	-115.900558	38.28507424	19.54733276	35.49200058	-0.59583354	10	19.5	39	2	10
0	-111.900558	35.78507424	17.61958313	29.08500099	-1.33099997	11	17.79999924	32.5	1.100000024	11
0	-122.400558	39.28507424	15.9460001	35.44400024	8.295332909	1	16	38.29999924	10.10000038	1
0	-122.400558	41.78507424	17.33708382	32.87799835	2.509833336	9	17.39999962	36.20000076	4.400000095	9
0	-116.400558	43.78507424	15.12749958	33.10499954	-0.334000081	9	15.10000038	37.70000076	2.099999905	9
0	-118.900558	36.78507424	13.0482502	27.60499954	2.506000042	3	13.10000038	30.39999962	4.699999809	3.5
0	-114.400558	46.28507424	14.52941704	23.15299988	-7.110000134	25	14.5	28	-5	26
0	-148.900558	62.78507424	9.678416252	18.0529995	-12.63183403	22	8.600000381	20.10000038	-8.899999619	24.29999924
0	-120.400558	42.28507424	15.02158356	28.28800011	-1.407333374	12	15.10000038	32.29999924	0.800000012	12
0	-116.900558	51.78507424	11.22558308	15.22599983	-12.51500034	58	10.89999962	19.29999924	-10.60000038	64.5
0	-142.900558	60.78507424	9.132166862	12.0340004	-13.1928339	67	8.600000381	13.89999962	-11	71.80000305
0	-117.400558	37.78507424	15.94083309	33.19900131	0.949666679	7	15.89999962	36.5	3.5	6.800000191
0	-115.400558	46.78507424	14.20258331	26.18199921	-4.494666576	26	14.30000019	31.29999924	-2.400000095	24
0	-115.400558	36.78507424	17.15324974	36.29800034	4.847833157	5	17.20000076	39.70000076	7.300000191	5.300000191
0	-122.900558	54.78507424	10.62899971	21.24900055	-8.568333626	27	10	23.89999962	-6.400000095	29.5
0	-116.400558	34.78507424	17.87416649	40.89500046	9.890500069	1	17.89999962	44	12	1
0	-117.400558	50.78507424	8.657917023	18.6609993	-8.945333481	79	8.5	23.20000076	-6.900000095	83
0	-114.900558	37.28507424	17.42149925	34.28300095	2.749166489	8	17.39999962	37.70000076	5.300000191	8
0	-152.400558	62.28507424	10.00024986	16.47699928	-12.90583324	21	9	18.5	-8.899999619	22.79999924
0	-116.900558	37.28507424	16.22408295	33.59700012	2.489499807	7	16.20000076	36.79999924	5	6.800000191
0	-116.900558	38.28507424	15.83983326	29.24399948	-1.233666539	11	15.89999962	32.70000076	1.399999976	11.30000019
0	-115.900558	30.78507424	14.20991611	29.70400047	12.22266674	1	14.19999981	31.79999924	14.10000038	0.800000012
0	-133.400558	61.28507424	11.7440834	18.7329998	-17.68199921	8	11	22	-15.10000038	8.5
0	-128.400558	54.78507424	8.620249748	17.57299995	-5.946499825	61	8.300000191	20.89999962	-3.700000048	64.30000305
0	-119.900558	43.78507424	15.11533356	27.7859993	-1.980333209	14	15.30000019	32.40000153	0.300000012	13
0	-110.900558	40.78507424	12.77991676	20.00099945	-6.510166645	34	12.5	23.70000076	-4.099999905	35
0	-151.400558	62.28507424	10.87391663	19.3239994	-13.01916695	24	9.899999619	21.39999962	-9.100000381	26
0	-114.400558	51.28507424	14.06966686	21.59700012	-8.73116684	11	13.69999981	25.5	-6.599999905	12.5
0	-114.900558	29.78507424	16.98150063	35.31999969	12.89433384	0	17	37.29999924	14.80000019	0
0	-117.900558	49.28507424	10.28891659	22.8010006	-4.908166885	45	10.39999962	28	-2.799999952	43.5
0	-114.900558	41.28507424	16.67550087	28.64699936	-4.184166431	16	16.60000038	32.70000076	-1.700000048	16.29999924
0	-119.900558	51.78507424	9.088832855	16.54400063	-8.896333694	65	8.699999809	20.60000038	-6.900000095	69.30000305
0	-123.900558	54.78507424	11.04583359	20.42199898	-10.01900005	25	10.39999962	23.20000076	-7.800000191	27.5
0	-118.400558	37.78507424	15.46275043	22.9470005	-2.602999926	18	15.5	25.79999924	-0.100000001	17.29999924
0	-115.400558	35.78507424	14.86524963	37.76800156	7.124166489	3	14.89999962	41.09999847	9.5	3
0	-119.900558	44.28507424	15.10608292	26.79899979	-2.738166809	17	15.30000019	31.60000038	-0.5	14.5
0	-118.900558	48.78507424	12.4974165	25.35000038	-5.140500069	27	12.69999981	30.79999924	-3	25.79999924
0	-119.400558	45.28507424	14.62250042	28.43099976	0.367166668	13	14.89999962	33.5	2.700000048	11.30000019
0	-135.900558	59.28507424	7.822416782	17.15800095	-7.259833336	47	7.300000191	19.79999924	-4.900000095	49.29999924
0	-116.400558	48.28507424	11.85341644	27.36300087	-1.280333281	33	11.89999962	32.59999847	0.899999976	29.5
0	-114.400558	41.78507424	15.80200005	28.79400063	-4.092333317	19	15.69999981	32.5	-1.600000024	20.5
0	-123.400558	52.28507424	15.25274944	22.37599945	-9.673000336	11	14.89999962	26.20000076	-7.599999905	12.30000019
0	-135.900558	57.78507424	5.903250217	16.47599983	-0.739499986	95	5.699999809	18.79999924	1.299999952	93.30000305
0	-112.400558	45.28507424	15.10516644	27.14699936	-4.509333134	7	14.80000019	31	-2.299999952	7.800000191
0	-125.900558	55.28507424	10.48591709	16.63800049	-10.95583344	27	9.899999619	19.79999924	-8.800000191	28.79999924
0	-129.900558	54.28507424	6.657416344	17.14999962	-1.277833343	96	6.5	20.39999962	0.800000012	87.80000305
0	-118.400558	48.78507424	11.33508301	22.83600044	-5.208000183	34	11.5	28.29999924	-3	31.79999924
0	-122.900558	45.78507424	11.22966671	25.9489994	4.484833241	21	11.39999962	29.60000038	6.199999809	18
0	-118.900558	55.78507424	11.76633263	22.25699997	-12.42383385	18	11.19999981	24.89999962	-10	18.5
0	-110.400558	44.28507424	15.90674973	21.71199989	-9.644165993	41	15.69999981	25.60000038	-7.5	41
0	-138.400558	60.78507424	11.36616611	17.74099922	-16.66283226	18	10.60000038	19.10000038	-14.19999981	18.79999924
0	-138.400558	60.28507424	9.575666428	11.81000042	-14.64983368	35	8.800000191	12.89999962	-12.30000019	37.29999924
0	-113.900558	47.28507424	12.07800007	21.07900047	-7.297500134	33	12	25.79999924	-5.099999905	32.29999924
0	-113.900558	35.78507424	15.49341679	32.12599945	3.636166573	8	15.60000038	35.5	5.900000095	8
0	-120.400558	47.28507424	10.69950008	22.45299911	-4.468166828	18	11	27.60000038	-2.299999952	15.5
0	-121.900558	43.28507424	15.13774967	24.97599983	-2.720000029	18	15.30000019	29	-0.800000012	17.29999924
0	-115.400558	45.78507424	16.16975021	25.98999977	-4.303500175	33	16.29999924	31	-2.200000048	30.5
0	-142.400558	60.78507424	9.227833748	12.40200043	-14.00150013	69	8.699999809	14.19999981	-11.69999981	74
0	-128.900558	56.28507424	9.42408371	16.77300072	-8.659832954	41	8.899999619	20.5	-6.300000191	42.79999924
0	-149.900558	64.28507424	11.6137495	22.35899925	-19.97066689	11	10.69999981	24.29999924	-16	12.30000019
0	-119.900558	42.28507424	14.4385004	28.22800064	-0.552833378	11	14.5	32.29999924	1.799999952	11.30000019
